Instruction,Type,RV32,RV64,EFFEW8,EFFEW16,EFFEW32,EFFEW64,cp_vill,cp_vstart,cp_vstart_gt_vl
vadd.vv,VVVM,x,x,x,x,x,x,x,x,x
vadd.vx,VVXM,x,x,x,x,x,x,x,x,x
vadd.vi,VVIM,x,x,x,x,x,x,x,x,x
vwadd.vv,VVVM,x,x,x,x,x,,x,x,x
vwadd.vx,VVXM,x,x,x,x,x,,x,x,x
vwaddu.vv,VVVM,x,x,x,x,x,,x,x,x
vwaddu.vx,VVXM,x,x,x,x,x,,x,x,x
vwadd.wv,VVVM,x,x,x,x,x,,x,x,x
vwadd.wx,VVXM,x,x,x,x,x,,x,x,x
vwaddu.wv,VVVM,x,x,x,x,x,,x,x,x
vwaddu.wx,VVXM,x,x,x,x,x,,x,x,x
vsub.vv,VVVM,x,x,x,x,x,x,x,x,x
vsub.vx,VVXM,x,x,x,x,x,x,x,x,x
vwsub.vv,VVVM,x,x,x,x,x,,x,x,x
vwsub.vx,VVXM,x,x,x,x,x,,x,x,x
vwsubu.vv,VVVM,x,x,x,x,x,,x,x,x
vwsubu.vx,VVXM,x,x,x,x,x,,x,x,x
vwsub.wv,VVVM,x,x,x,x,x,,x,x,x
vwsub.wx,VVXM,x,x,x,x,x,,x,x,x
vwsubu.wv,VVVM,x,x,x,x,x,,x,x,x
vwsubu.wx,VVXM,x,x,x,x,x,,x,x,x
vrsub.vx,VVXM,x,x,x,x,x,x,x,x,x
vrsub.vi,VVIM,x,x,x,x,x,x,x,x,x
vzext.vf2,VVM,x,x,,x,x,x,x,x,x
vzext.vf4,VVM,x,x,,,x,x,x,x,x
vzext.vf8,VVM,x,x,,,,x,x,x,x
vsext.vf2,VVM,x,x,,x,x,x,x,x,x
vsext.vf4,VVM,x,x,,,x,x,x,x,x
vsext.vf8,VVM,x,x,,,,x,x,x,x
vadc.vvm,VVVM,x,x,x,x,x,x,x,x,x
vadc.vxm,VVXM,x,x,x,x,x,x,x,x,x
vadc.vim,VVIM,x,x,x,x,x,x,x,x,x
vsbc.vvm,VVVM,x,x,x,x,x,x,x,x,x
vsbc.vxm,VVXM,x,x,x,x,x,x,x,x,x
vmadc.vvm,VVVM,x,x,x,x,x,x,x,x,x
vmadc.vxm,VVXM,x,x,x,x,x,x,x,x,x
vmadc.vim,VVIM,x,x,x,x,x,x,x,x,x
vmadc.vv,VVV,x,x,x,x,x,x,x,x,x
vmadc.vx,VVX,x,x,x,x,x,x,x,x,x
vmadc.vi,VVI,x,x,x,x,x,x,x,x,x
vmsbc.vvm,VVVM,x,x,x,x,x,x,x,x,x
vmsbc.vxm,VVXM,x,x,x,x,x,x,x,x,x
vmsbc.vv,VVV,x,x,x,x,x,x,x,x,x
vmsbc.vx,VVX,x,x,x,x,x,x,x,x,x
vand.vv,VVVM,x,x,x,x,x,x,x,x,x
vand.vx,VVXM,x,x,x,x,x,x,x,x,x
vand.vi,VVIM,x,x,x,x,x,x,x,x,x
vor.vv,VVVM,x,x,x,x,x,x,x,x,x
vor.vx,VVXM,x,x,x,x,x,x,x,x,x
vor.vi,VVIM,x,x,x,x,x,x,x,x,x
vxor.vv,VVVM,x,x,x,x,x,x,x,x,x
vxor.vx,VVXM,x,x,x,x,x,x,x,x,x
vxor.vi,VVIM,x,x,x,x,x,x,x,x,x
vsll.vv,VVVM,x,x,x,x,x,x,x,x,x
vsll.vx,VVXM,x,x,x,x,x,x,x,x,x
vsll.vi,VVIM,x,x,x,x,x,x,x,x,x
vsrl.vv,VVVM,x,x,x,x,x,x,x,x,x
vsrl.vx,VVXM,x,x,x,x,x,x,x,x,x
vsrl.vi,VVIM,x,x,x,x,x,x,x,x,x
vnsrl.wv,VVVM,x,x,x,x,x,,x,x,x
vnsrl.wx,VVXM,x,x,x,x,x,,x,x,x
vnsrl.wi,VVIM,x,x,x,x,x,,x,x,x
vsra.vv,VVVM,x,x,x,x,x,x,x,x,x
vsra.vx,VVXM,x,x,x,x,x,x,x,x,x
vsra.vi,VVIM,x,x,x,x,x,x,x,x,x
vnsra.wv,VVVM,x,x,x,x,x,,x,x,x
vnsra.wx,VVXM,x,x,x,x,x,,x,x,x
vnsra.wi,VVIM,x,x,x,x,x,,x,x,x
vmseq.vv,VVVM,x,x,x,x,x,x,x,x,x
vmseq.vx,VVXM,x,x,x,x,x,x,x,x,x
vmseq.vi,VVIM,x,x,x,x,x,x,x,x,x
vmsne.vv,VVVM,x,x,x,x,x,x,x,x,x
vmsne.vx,VVXM,x,x,x,x,x,x,x,x,x
vmsne.vi,VVIM,x,x,x,x,x,x,x,x,x
vmslt.vv,VVVM,x,x,x,x,x,x,x,x,x
vmslt.vx,VVXM,x,x,x,x,x,x,x,x,x
vmsltu.vv,VVVM,x,x,x,x,x,x,x,x,x
vmsltu.vx,VVXM,x,x,x,x,x,x,x,x,x
vmsle.vv,VVVM,x,x,x,x,x,x,x,x,x
vmsle.vx,VVXM,x,x,x,x,x,x,x,x,x
vmsle.vi,VVIM,x,x,x,x,x,x,x,x,x
vmsleu.vv,VVVM,x,x,x,x,x,x,x,x,x
vmsleu.vx,VVXM,x,x,x,x,x,x,x,x,x
vmsleu.vi,VVIM,x,x,x,x,x,x,x,x,x
vmsgt.vx,VVXM,x,x,x,x,x,x,x,x,x
vmsgt.vi,VVIM,x,x,x,x,x,x,x,x,x
vmsgtu.vx,VVXM,x,x,x,x,x,x,x,x,x
vmsgtu.vi,VVIM,x,x,x,x,x,x,x,x,x
vmin.vv,VVVM,x,x,x,x,x,x,x,x,x
vmin.vx,VVXM,x,x,x,x,x,x,x,x,x
vminu.vv,VVVM,x,x,x,x,x,x,x,x,x
vminu.vx,VVXM,x,x,x,x,x,x,x,x,x
vmax.vv,VVVM,x,x,x,x,x,x,x,x,x
vmax.vx,VVXM,x,x,x,x,x,x,x,x,x
vmaxu.vv,VVVM,x,x,x,x,x,x,x,x,x
vmaxu.vx,VVXM,x,x,x,x,x,x,x,x,x
vmul.vv,VVVM,x,x,x,x,x,x,x,x,x
vmul.vx,VVXM,x,x,x,x,x,x,x,x,x
vmulh.vv,VVVM,x,x,x,x,x,x,x,x,x
vmulh.vx,VVXM,x,x,x,x,x,x,x,x,x
vmulhu.vv,VVVM,x,x,x,x,x,x,x,x,x
vmulhu.vx,VVXM,x,x,x,x,x,x,x,x,x
vmulhsu.vv,VVVM,x,x,x,x,x,x,x,x,x
vmulhsu.vx,VVXM,x,x,x,x,x,x,x,x,x
vwmul.vv,VVVM,x,x,x,x,x,,x,x,x
vwmul.vx,VVXM,x,x,x,x,x,,x,x,x
vwmulu.vv,VVVM,x,x,x,x,x,,x,x,x
vwmulu.vx,VVXM,x,x,x,x,x,,x,x,x
vwmulsu.vv,VVVM,x,x,x,x,x,,x,x,x
vwmulsu.vx,VVXM,x,x,x,x,x,,x,x,x
vdiv.vv,VVVM,x,x,x,x,x,x,x,x,x
vdiv.vx,VVXM,x,x,x,x,x,x,x,x,x
vdivu.vv,VVVM,x,x,x,x,x,x,x,x,x
vdivu.vx,VVXM,x,x,x,x,x,x,x,x,x
vrem.vv,VVVM,x,x,x,x,x,x,x,x,x
vrem.vx,VVXM,x,x,x,x,x,x,x,x,x
vremu.vv,VVVM,x,x,x,x,x,x,x,x,x
vremu.vx,VVXM,x,x,x,x,x,x,x,x,x
vmacc.vv,VVVMR,x,x,x,x,x,x,x,x,x
vmacc.vx,VXVM,x,x,x,x,x,x,x,x,x
vnmsac.vv,VVVMR,x,x,x,x,x,x,x,x,x
vnmsac.vx,VXVM,x,x,x,x,x,x,x,x,x
vmadd.vv,VVVMR,x,x,x,x,x,x,x,x,x
vmadd.vx,VXVM,x,x,x,x,x,x,x,x,x
vnmsub.vv,VVVMR,x,x,x,x,x,x,x,x,x
vnmsub.vx,VXVM,x,x,x,x,x,x,x,x,x
vwmacc.vv,VVVMR,x,x,x,x,x,,x,x,x
vwmacc.vx,VXVM,x,x,x,x,x,,x,x,x
vwmaccu.vv,VVVMR,x,x,x,x,x,,x,x,x
vwmaccu.vx,VXVM,x,x,x,x,x,,x,x,x
vwmaccsu.vv,VVVMR,x,x,x,x,x,,x,x,x
vwmaccsu.vx,VXVM,x,x,x,x,x,,x,x,x
vwmaccus.vx,VXVM,x,x,x,x,x,,x,x,x
vmerge.vvm,VVVM,x,x,x,x,x,x,x,x,x
vmerge.vxm,VVXM,x,x,x,x,x,x,x,x,x
vmerge.vim,VVIM,x,x,x,x,x,x,x,x,x
vmv.v.v,VVR,x,x,x,x,x,x,x,x,x
vmv.v.x,VX,x,x,x,x,x,x,x,x,x
vmv.v.i,VI,x,x,x,x,x,x,x,x,x
vsadd.vv,VVVM,x,x,x,x,x,x,x,x,x
vsadd.vx,VVXM,x,x,x,x,x,x,x,x,x
vsadd.vi,VVIM,x,x,x,x,x,x,x,x,x
vsaddu.vv,VVVM,x,x,x,x,x,x,x,x,x
vsaddu.vx,VVXM,x,x,x,x,x,x,x,x,x
vsaddu.vi,VVIM,x,x,x,x,x,x,x,x,x
vssub.vv,VVVM,x,x,x,x,x,x,x,x,x
vssub.vx,VVXM,x,x,x,x,x,x,x,x,x
vssubu.vv,VVVM,x,x,x,x,x,x,x,x,x
vssubu.vx,VVXM,x,x,x,x,x,x,x,x,x
vaadd.vv,VVVM,x,x,x,x,x,x,x,x,x
vaadd.vx,VVXM,x,x,x,x,x,x,x,x,x
vaaddu.vv,VVVM,x,x,x,x,x,x,x,x,x
vaaddu.vx,VVXM,x,x,x,x,x,x,x,x,x
vasub.vv,VVVM,x,x,x,x,x,x,x,x,x
vasub.vx,VVXM,x,x,x,x,x,x,x,x,x
vasubu.vv,VVVM,x,x,x,x,x,x,x,x,x
vasubu.vx,VVXM,x,x,x,x,x,x,x,x,x
vsmul.vv,VVVM,x,x,x,x,x,x,x,x,x
vsmul.vx,VVXM,x,x,x,x,x,x,x,x,x
vssrl.vv,VVVM,x,x,x,x,x,x,x,x,x
vssrl.vx,VVXM,x,x,x,x,x,x,x,x,x
vssrl.vi,VVIM,x,x,x,x,x,x,x,x,x
vssra.vv,VVVM,x,x,x,x,x,x,x,x,x
vssra.vx,VVXM,x,x,x,x,x,x,x,x,x
vssra.vi,VVIM,x,x,x,x,x,x,x,x,x
vnclip.wv,VVVM,x,x,x,x,x,,x,x,x
vnclip.wx,VVXM,x,x,x,x,x,,x,x,x
vnclip.wi,VVIM,x,x,x,x,x,,x,x,x
vnclipu.wv,VVVM,x,x,x,x,x,,x,x,x
vnclipu.wx,VVXM,x,x,x,x,x,,x,x,x
vnclipu.wi,VVIM,x,x,x,x,x,,x,x,x
vredsum.vs,VVVM,x,x,x,x,x,x,x,x,x
vwredsum.vs,VVVM,x,x,x,x,x,,x,x,x
vwredsumu.vs,VVVM,x,x,x,x,x,,x,x,x
vredmax.vs,VVVM,x,x,x,x,x,x,x,x,x
vredmaxu.vs,VVVM,x,x,x,x,x,x,x,x,x
vredmin.vs,VVVM,x,x,x,x,x,x,x,x,x
vredminu.vs,VVVM,x,x,x,x,x,x,x,x,x
vredand.vs,VVVM,x,x,x,x,x,x,x,x,x
vredor.vs,VVVM,x,x,x,x,x,x,x,x,x
vredxor.vs,VVVM,x,x,x,x,x,x,x,x,x
vmand.mm,VVV,x,x,x,x,x,x,x,x,x
vmnand.mm,VVV,x,x,x,x,x,x,x,x,x
vmandn.mm,VVV,x,x,x,x,x,x,x,x,x
vmxor.mm,VVV,x,x,x,x,x,x,x,x,x
vmor.mm,VVV,x,x,x,x,x,x,x,x,x
vmnor.mm,VVV,x,x,x,x,x,x,x,x,x
vmorn.mm,VVV,x,x,x,x,x,x,x,x,x
vmxnor.mm,VVV,x,x,x,x,x,x,x,x,x
vcpop.m,XVM,x,x,x,x,x,x,x,x,x
vfirst.m,XVM,x,x,x,x,x,x,x,x,x
vmsbf.m,VVM,x,x,x,x,x,x,x,x,x
vmsif.m,VVM,x,x,x,x,x,x,x,x,x
vmsof.m,VVM,x,x,x,x,x,x,x,x,x
viota.m,VVM,x,x,x,x,x,x,x,x,x
vid.v,VM,x,x,x,x,x,x,x,x,x
vmv.x.s,XV,x,x,x,x,x,x,x,x,x
vmv.s.x,VX,x,x,x,x,x,x,x,x,x
vslideup.vx,VVXM,x,x,x,x,x,x,x,x,x
vslideup.vi,VVIM,x,x,x,x,x,x,x,x,x
vslidedown.vx,VVXM,x,x,x,x,x,x,x,x,x
vslidedown.vi,VVIM,x,x,x,x,x,x,x,x,x
vslide1up.vx,VVXM,x,x,x,x,x,x,x,x,x
vslide1down.vx,VVXM,x,x,x,x,x,x,x,x,x
vrgather.vv,VVVM,x,x,x,x,x,x,x,x,x
vrgather.vx,VVXM,x,x,x,x,x,x,x,x,x
vrgather.vi,VVIM,x,x,x,x,x,x,x,x,x
vrgatherei16.vv,VVVM,x,x,,x,x,x,x,x,x
vcompress.vm,VVV,x,x,x,x,x,x,x,x,x
vmv1r.v,VV,x,x,x,x,x,x,x,x,x
vmv2r.v,VV,x,x,x,x,x,x,x,x,x
vmv4r.v,VV,x,x,x,x,x,x,x,x,x
vmv8r.v,VV,x,x,x,x,x,x,x,x,x
