coverpoint_name,instructions,norm_rule_1,norm_rule_2,norm_rule_3,norm_rule_4,norm_rule_5,norm_rule_6,norm_rule_7,norm_rule_8,norm_rule_9,norm_rule_10,norm_rule_11,norm_rule_12,norm_rule_13,norm_rule_14,norm_rule_15
cp_vs3,"vse8.v, vse16.v, ... +16 more (x); vsseg2e8.v, vsseg2e16.v, ... +14 more (lte30); vsseg3e8.v, vsseg3e16.v, ... +14 more (lte29); vsseg4e8.v, vsseg4e16.v, ... +14 more (lte28); vsseg5e8.v, vsseg5e16.v, ... +14 more (lte27); vsseg6e8.v, vsseg6e16.v, ... +14 more (lte26); vsseg7e8.v, vsseg7e16.v, ... +14 more (lte25); vsseg8e8.v, vsseg8e16.v, ... +14 more (lte24); vs2r.v (emul2); vs4r.v (emul4); vs8r.v (emul8)",vreg_count,EMUL_offgroup_rsv,vector_ls_seg_unit-stride_vd_vs3,vector_ls_seg_rsv,NFIELDS,vector_ls_EMUL_offgroup_rsv,vector_ls_seg_wholereg_op,vector_load_store_semantics,vector_ls_seg_wholereg_nf_rsv,,,,,,
cp_vs2,"vluxei8.v, vluxei16.v, ... +126 more (x)",,,,,,,,,,,,,,,
cp_vs2_edges,"vluxei8.v, vluxei16.v, ... +126 more (ls)",vector_ls_indexed_op,vector_ls_bytewise,vector_ls_indexed_EEW,vector_ls_indexed_EMUL,vector_ls_XLEN_dep,vector_ls_seg_indexed_op,vector_ls_seg_indexed_EEW_op,vector_ls_seg_indexed_EMUL_op,VLMAX,vector_load_store_semantics,EEW,EMUL,,,
cmp_vd_vs2,vluxei8.v (sew_lte_8); vluxei16.v (sew_lte_16); vluxei32.v (sew_lte_32); vluxei64.v (sew_lte_64),vreg_overlap_legal,vreg_overlap_rsv,vreg_overlap_agn,vector_ls_seg_indexed_vreg_rsv,,,,,,,,,,,
cmp_vs3_vs2,"vsuxei8.v, vsuxei16.v, ... +6 more (x); vsuxseg2ei8.v, vsuxseg2ei16.v, ... +6 more (lte30); vsuxseg3ei8.v, vsuxseg3ei16.v, ... +6 more (lte29); vsuxseg4ei8.v, vsuxseg4ei16.v, ... +6 more (lte28); vsuxseg5ei8.v, vsuxseg5ei16.v, ... +6 more (lte27); vsuxseg6ei8.v, vsuxseg6ei16.v, ... +6 more (lte26); vsuxseg7ei8.v, vsuxseg7ei16.v, ... +6 more (lte25); vsuxseg8ei8.v, vsuxseg8ei16.v, ... +6 more (lte24)",vreg_overlap_legal,vreg_overlap_rsv,vreg_overlap_agn,vector_ls_seg_rsv,vector_ls_indexed_op,vector_ls_seg_indexed_op,vreg_count,,,,,,,,
cp_rs1,"vle8.v, vle16.v, ... +308 more (nx0)",vop-vx_xreg_rs1,vector_ls_base,vector_ls_base_stride_regtype,,,,,,,,,,,,
cp_rs2,"vlse8.v, vlse16.v, ... +62 more (x)",vector_ls_base_stride_regtype,vector_ls_constant-stride_op,VECTOR_LS_CONSTANT_STRIDE_X0,vector_ls_seg_constant-stride_op,,,,,,,,,,,
cp_rs2_edges,"vlse8.v, vlsseg2e8.v, ... +14 more (ls_e8); vlse16.v, vlsseg2e16.v, ... +14 more (ls_e16); vlse32.v, vlsseg2e32.v, ... +14 more (ls_e32); vlse64.v, vlsseg2e64.v, ... +14 more (ls_e64)",,,,,,,,,,,,,,,
cp_masking_edges,"vle8.v, vle16.v, ... +286 more (x)",VLMAX,vtype-vma_op,vtype-vma_val,vmask_op,vreg_vmask,vreg_mask_op,vreg_agnostic_op,V_masked,vector_active_element,vector_inactive_element,vector_tail_element,vector_masked_memory_access,vector_masked_inactive_behavior,vl_op,vmask_control_dependency
cr_vl_lmul,"vle8.v, vle8ff.v, ... +7 more (e8); vle16.v, vle16ff.v, ... +7 more (e16); vle32.v, vle32ff.v, ... +7 more (e32); vle64.v, vle64ff.v, ... +7 more (e64); vlseg2e8.v, vlseg2e8ff.v, ... +7 more (e8_emul4max); vlseg2e16.v, vlseg2e16ff.v, ... +7 more (e16_emul4max); vlseg2e32.v, vlseg2e32ff.v, ... +7 more (e32_emul4max); vlseg2e64.v, vlseg2e64ff.v, ... +7 more (e64_emul4max); vlseg3e8.v, vlseg4e8.v, ... +16 more (e8_emul2max); vlseg3e16.v, vlseg4e16.v, ... +16 more (e16_emul2max); vlseg3e32.v, vlseg4e32.v, ... +16 more (e32_emul2max); vlseg3e64.v, vlseg4e64.v, ... +16 more (e64_emul2max); vlseg5e8.v, vlseg6e8.v, ... +34 more (e8_emul1max); vlseg5e16.v, vlseg6e16.v, ... +34 more (e16_emul1max); vlseg5e32.v, vlseg6e32.v, ... +34 more (e32_emul1max); vlseg5e64.v, vlseg6e64.v, ... +34 more (e64_emul1max); vl1re8.v, vl1re16.v, ... +8 more (x); vl2re8.v, vl2re16.v, ... +2 more (lmul4max); vl4re8.v, vl4re16.v, ... +2 more (lmul2max); vl8re8.v, vl8re16.v, ... +2 more (lmul1max)",,,,,,,,,,,,,,,
cp_vl_0,"vle8.v, vle16.v, ... +308 more (x)",,,,,,,,,,,,,,,
cr_vtype_agnostic,"vle8.v, vle8ff.v, ... +7 more (e8); vle16.v, vle16ff.v, ... +7 more (e16); vle32.v, vle32ff.v, ... +7 more (e32); vle64.v, vle64ff.v, ... +7 more (e64); vlseg2e8.v, vlseg2e8ff.v, ... +7 more (e8_emul4max); vlseg2e16.v, vlseg2e16ff.v, ... +7 more (e16_emul4max); vlseg2e32.v, vlseg2e32ff.v, ... +7 more (e32_emul4max); vlseg2e64.v, vlseg2e64ff.v, ... +7 more (e64_emul4max); vlseg3e8.v, vlseg4e8.v, ... +16 more (e8_emul2max); vlseg3e16.v, vlseg4e16.v, ... +16 more (e16_emul2max); vlseg3e32.v, vlseg4e32.v, ... +16 more (e32_emul2max); vlseg3e64.v, vlseg4e64.v, ... +16 more (e64_emul2max); vlseg5e8.v, vlseg6e8.v, ... +34 more (e8_emul1max); vlseg5e16.v, vlseg6e16.v, ... +34 more (e16_emul1max); vlseg5e32.v, vlseg6e32.v, ... +34 more (e32_emul1max); vlseg5e64.v, vlseg6e64.v, ... +34 more (e64_emul1max); vl1re8.v, vl1re16.v, ... +8 more (nomask); vl2re8.v, vl2re16.v, ... +2 more (lmul4max_nomask); vl4re8.v, vl4re16.v, ... +2 more (lmul2max_nomask); vl8re8.v, vl8re16.v, ... +2 more (lmul1max_nomask)",,,,,,,,,,,,,,,
cp_vd,"vle8.v, vle16.v, ... +23 more (x); vlseg2e8.v, vlseg2e16.v, ... +18 more (lte30); vlseg3e8.v, vlseg3e16.v, ... +18 more (lte29); vlseg4e8.v, vlseg4e16.v, ... +18 more (lte28); vlseg5e8.v, vlseg5e16.v, ... +18 more (lte27); vlseg6e8.v, vlseg6e16.v, ... +18 more (lte26); vlseg7e8.v, vlseg7e16.v, ... +18 more (lte25); vlseg8e8.v, vlseg8e16.v, ... +18 more (lte24); vl2re8.v, vl2re16.v, ... +2 more (emul2); vl4re8.v, vl4re16.v, ... +2 more (emul4); vl8re8.v, vl8re16.v, ... +2 more (emul8)",,,,,,,,,,,,,,,
